Key;HouseType;TotalArea;Floors;Basement;Attic;ConstructionYear;Surfaces;ReconstructionYear;AdditionalHeating
94f7ce39-01a8-4340-ac65-2b329bc52c94;Parcel;153;1;0;0;1978;Mursten;;Brændeovn
1e85c999-6b0e-42d6-8aac-403c10438d85;Parcel;135;1;0;0;1981;Mursten;;Brændeovn
b3328986-321f-4e79-b7b6-1cd4173f0e1e;Parcel;249;1;83;0;1937;Mursten;;
6371d687-012c-4f76-ab3a-d7112294c64c;Parcel;251;1;0;106;1976;Mursten;;
4c0c46b4-6028-4ffb-89b1-1d804aa96d5b;Parcel;158;1;0;0;1959;Mursten;2010;
e76a14e9-2561-436f-8c21-1b38ef98a193;Lejlighed;61;1;0;0;1920;Mursten;;
2c4f9483-6295-49db-bf58-3e871c6d7879;Parcel;150;2;72;0;1930;Mursten;2000;
f0796472-448c-47fe-8414-d105cfb9d657;Parcel;198;1;33;0;1961;Mursten;1967;
6221002d-d062-4097-b178-c06cf2f7ef77;Erhverv;1705;1;0;0;1965;Mursten;1976;
82953a26-53bb-4dc8-8fa9-8143be4a4511;Parcel;125;1;31;41;1926;Mursten;1975;
105bad1c-510e-48c1-895c-25fdf1754644;Parcel;170;1;0;0;1972;Mursten;;
f05f847a-ae43-4f91-bbce-4483dbd977a5;Parcel;132;1;0;0;1998;Mursten;;
3fc9cef3-1cfe-44df-976b-a432c5dd0ebd;Parcel;187;1;100;0;1972;Mursten;2000;Brændeovn
88e1a877-a60e-46aa-a2ed-e46abb377148;Parcel;166;2;76;0;1955;Mursten;;
377e3ca9-9d01-4a41-938e-6a8635d388c6;Parcel;135;1;0;0;1962;Mursten;1974;
4b5e1ba5-8a66-4dc4-a696-fd5009369f4e;Rækkehus;212;1;0;92;2014;Mursten;;
b06f7c53-cc90-442a-a813-5174f7172be1;Rækkehus;110;1;50;31;1967;Mursten;;
5ed331e1-0faf-4f34-bc22-f5351ead67da;Parcel;128;1;0;34;1927;Mursten;1998;
e552c652-c884-4847-a9d2-6e6461726ea0;Parcel;105;1;0;40;1930;Mursten;;
ab0a2f1a-8fdb-47be-b934-03a498032e78;Parcel;183;1;0;0;1973;Mursten;1986;Brændeovn
a8d24c43-9be8-4cb5-9b89-b946c63892c3;Parcel;124;1;0;0;1974;Mursten;1986;
4f40fac1-960c-4cbd-8c4c-b604011b2605;Parcel;152;1;0;0;1978;Mursten;;
12b44d2d-982f-4df2-8aeb-4e7f65ca2986;Rækkehus;82;1;48;34;1954;Mursten;;
1e4a740b-e41d-4713-a47b-a427f3c3eae0;Erhverv;;;;;;;;
25304665-ceb4-4870-ab2a-6d4fdeb3df47;Parcel;191;1;0;0;1974;Mursten;2000;
8df772ab-463a-428b-a363-f5232989191e;Parcel;91;1;0;35;1942;Mursten;;
ce20dd18-7af4-4d0a-9573-59a5e14a2ed1;Parcel;151;1;0;0;1984;Mursten;1996;
d00d6bc0-aa25-444a-99e6-c2ac9682a338;Lejlighed;144;1;0;0;1900;Mursten;;
17fc3509-4cbc-4e38-be3c-63ca58a3e65d;Parcel;160;1;0;0;1974;Mursten;;Brændeovn
fa3a3237-5cf2-4944-be48-2da58c3ec0af;Parcel;139;1;0;0;1969;Mursten;;
6a52b9d3-7c4d-45de-a6d3-3d0932dbd26e;Parcel;131;1;0;52;1900;Mursten;;
c867a9e9-2314-481b-99b8-023f48229664;Parcel;149;1;0;0;1984;Mursten;1992;
3de94dd2-e243-4629-af97-d72bdfabe429;Parcel;152;1;0;64;2008;Mursten;;
1bd0a2b8-f3aa-41c7-bc8d-f97e7c45ae08;Parcel;130;1;70;0;1960;Mursten;1974;
90c959f6-91ca-40a9-9585-9b2a6bf026e7;Erhverv;939;1;0;0;1968;Betonelementer;;
528147d3-2b36-41f8-96c6-877ce9597b55;Parcel;162;1;0;0;1964;Mursten;;
30c02c01-f25a-44b0-9f74-5fc906952843;Parcel;176;1;0;82;1953;Mursten;1978;
fb5fb495-4bbb-4eb1-b4cb-e579fa1fb5a5;Parcel;160;1;0;0;1984;Mursten;1994;
aab1a257-c425-4992-abc9-b0aca6bbd4a3;Fritidsformål;204;;;;1991;Træ;;
864d7b48-50ee-4211-9bea-34d863a71db3;Parcel;205;1;85;0;1966;Mursten;;
6d74c29a-1dec-4b66-9001-71c49ead8e38;Parcel;123;1;0;0;1970;Mursten;1994;
c01fa2cc-c4df-4a51-b86c-52825641d83e;Parcel;150;1;0;0;1977;Mursten;;
7b4cf131-9baf-4395-8b6c-5e1379905314;Parcel;149;1;0;0;1974;Mursten;;
0a91ec8e-273c-449b-93e9-6de059cfb9c7;Parcel;186;1;0;0;1965;Mursten;2010;
a57c7df8-c1c6-4f00-a9d9-0d47a103be5d;Erhverv;270;1;0;0;2008;Mursten;;
4ba3816c-f8e1-48f5-8fb2-a4e80ac011c9;Parcel;140;1;0;0;1979;Mursten;;
8b516955-bf89-46cc-a866-e66e3316b90e;Parcel;138;1;0;0;1984;Mursten;;
02f070a0-3395-4023-bba6-6f8b750f4a31;Parcel;118;1;0;0;1984;Mursten;;
666cc1f5-5f66-4e71-8d57-fe9905a50ac1;Parcel;120;1;0;0;1954;Mursten;1976;
798adeae-c315-421f-bb9c-208c648bc479;Parcel;165;1;37;0;1969;Mursten;1981;
1c9d0a45-4d6d-4307-87a1-1081aeea0de6;Rækkehus;326;1;0;0;2009;Mursten;;
99b825cd-28c8-4c96-96f6-ef4dc41f6950;Erhverv;1822;1;144;0;1983;Mursten;;
f1eff76c-25e8-4ddb-a08c-6eb8ba1a0fa0;Parcel;226;1;90;30;1955;Andet;;
09633186-fc6c-4b7e-bb9a-d5d73a9dbe76;Parcel;137;1;0;0;1991;Mursten;;
f6f1b8c0-eb6d-45e5-83a8-aee546f29021;Parcel;160;1;0;0;1971;Mursten;;Brændeovn
8d5891bb-63cd-4473-9b31-ecbc95e3ee33;Parcel;132;1;0;0;1984;Mursten;;
d841a13f-3818-4c08-9f88-30b45e40016e;Parcel;171;1;80;68;1910;Mursten;;
8dc17cd8-729c-4243-bbd1-223e2b59d3a7;Parcel;125;1;31;41;1926;Mursten;1975;
03dfd470-8f1c-45e7-a33c-ea0828725069;Parcel;158;1;0;0;1985;Mursten;2003;
837cf7f8-d9d5-4b13-8b3f-7c47317b9fc6;Parcel;135;1;0;0;1983;Mursten;1991;
321ee2e8-384b-48f4-97a5-a96db111a851;Parcel;148;1;11;49;1904;Mursten;2011;
86fefa80-a835-451d-abcb-fa4e2dd6e723;Parcel;131;1;81;0;1964;Mursten;;
bfc4580d-8ced-438f-9c3e-3960208884d1;Parcel;151;1;0;0;1953;Letbeton;1988;
ed8f1fe0-919e-4fa8-a193-a3e0059628dc;Parcel;119;1;0;0;1985;Mursten;;Brændeovn
3d21d2b5-8ac6-4b6e-941b-2c49322eced3;Rækkehus;142;1;74;68;1935;Mursten;;
4e6c9267-302a-43ea-aeed-25e54508f78e;Parcel;146;1;0;0;1972;Mursten;;
c7a452c3-3161-40d7-8d0b-0eb6f05b9851;Parcel;120;1;0;0;1985;Mursten;;
517442eb-0dcc-4f09-8768-3381d3151127;Parcel;135;1;0;0;1952;Mursten;;
c26add7d-7bbc-4860-9700-c59c8a0432d9;Parcel;142;1;0;0;1984;Mursten;1993;
e705562c-608d-4236-b454-f7160752675f;Parcel;162;1;76;50;1927;Mursten;;
8a69993e-97cb-41b9-99c4-4c507328ea09;Parcel;195;1;0;0;1974;Mursten;;