"";"HouseIndex";"I";"T";"N";"E";"S";"W";"SolaR";"T:N";"T:E";"T:S";"T:W"
"1";"1";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"2";"2";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"3";"3";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"4";"4";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"5";"5";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"6";"7";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"7";"11";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"8";"12";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"9";"14";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"10";"18";" + * * *";" - * *";" -";" + * * *";" - * *";" + * *";" + .";" +";" -";" + * * *";" - * * *"
"11";"21";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"12";"22";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"13";"23";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"14";"28";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"15";"29";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"16";"30";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"17";"31";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"18";"32";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"19";"33";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"20";"34";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"21";"36";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"22";"37";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"23";"38";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"24";"40";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"25";"41";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"26";"42";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"27";"44";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"28";"45";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"29";"46";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"30";"47";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"31";"48";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"32";"49";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"33";"50";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"34";"52";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"35";"54";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"36";"55";" + * * *";" - * * *";" +";" + *";" + .";" + * * *";" - * * *";" -";" +";" + * *";" - *"
"37";"56";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"38";"57";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"39";"58";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"40";"61";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"41";"64";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"42";"65";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"43";"66";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
